Block Structure Code,Total Block Rateable Value,Block Name,BD Code (Only issued if block contains Homeowners)
STR000165,5400,FAIRFAX HOUSE,BD000535
STR000166,245,FERN LODGE,BD001379
STR000168,3060,BEAUCLERK HOUSE (1-10),BD002153
STR000171,5652,HERON COURT 1-18,BD001291
STR000173,5752,OAKWELL HOUSE 1-26,BD000288
STR000177,12587,NEVIL HOUSE 1-53,BD000487
STR000178,8092,CORK TREE HOUSE 1-40,BD001197
STR000180,8224,WESTBROOK HOUSE 1-32,BD002216
STR000181,2528,CALAIS GATE (1-8),BD001014
STR000183,9900,SELWAY HOUSE 2-36,BD000269
STR000184,12758,NORTHWOOD HOUSE,
STR000185,4256,JOSEF PERRIN HOUSE 1-16 CONS,BD001281
STR000186,1772,HOGARTH HOUSE (1-6),BD001262
STR000187,2385,CHAUCER HOUSE 1-9,BD001256
STR000188,4651,METCALFE HOUSE,BD000349
STR000190,10348,ANNESLEY HOUSE 1-40 CONS,BD000436
STR000191,4534,MORDAUNT HOUSE,BD000311
STR000193,6160,VERNON HOUSE 1-20,BD002858
STR000194,21074,KETTLEBY HOUSE 1-88,BD000485
STR000195,3122,TALLEYRAND HOUSE 5-18,BD000511
STR000196,3237,ADAM COURT 1-12,BD002861
STR000197,3320,KENBURY MANSIONS,BD000755
STR000198,4392,DAVID HOUSE 1-16,BD002891
STR000199,1212,DAMORIE HOUSE 1-6,BD002252
STR000205,8884,HOLT HOUSE 1-36,BD001083
STR000206,546,CLARKE HOUSE (1-3),
STR000207,966,WELLS HOUSE,
STR000208,4512,SPENCER HOUSE,BD000350
STR000209,2151,CARLTON MANSIONS 1-11 CONS,BD000255
STR000210,9500,LEARY HOUSE 1-40,BD002855
STR000211,1713,SHAREBOURNE HOUSE 1-6,BD001102
STR000212,5037,CALSTOCK HOUSE 1-24,BD002809
STR000213,18067,MOUNTAIN HOUSE 1-66,BD002821
STR000214,11704,MEATH HOUSE 1-44,BD001099
STR000215,4392,GILBERT HOUSE 1-16,BD002894
STR000216,4496,FARNSWORTH HOUSE 1-16 CONS,BD001228
STR000217,10160,GROVER HOUSE 1-40,BD002853
STR000218,6000,BEGBIE HOUSE 1-20,BD002268
STR000220,4340,MENTONE COURT 1-20,BD000277
STR000221,12741,BARNSBURY HOUSE 1-52,BD002284
STR000222,4820,BRISTOL HOUSE 1-20,BD002835
STR000223,5774,BILTON HOUSE 1-31,BD000298
STR000225,3099,COLE HOUSE 1-15,BD003063
STR000226,16780,CHARTHAM COURT 1-59,BD000461
STR000228,6274,ASCOT COURT 1-29,BD002439
STR000230,6864,NORMAN HOUSE 1-24,BD002898
STR000232,2128,DEAUVILLE COURT (1-8),BD002444
STR000233,3060,HECTOR COURT 1-10,BD002880
STR000235,18964,HOWARD HOUSE 1-78,BD000483
STR000236,7320,OSMINGTON HOUSE 1-26,BD003089
STR000241,2047,GIFFORD HOUSE (1-8),BD002187
STR000242,15172,ADDINGTON HOUSE 1-59,BD002267
STR000243,3426,TURNMILL HOUSE 1-12,BD001103
STR000245,24994,WARD POINT,BD003139
STR000246,10160,SIMPSON HOUSE 1-40,BD002857
STR000247,9528,DUNSFOLD HOUSE 1-35 CONS,BD001370
STR000248,4085,MINTON HOUSE 1-17,BD002805
STR000249,5037,FOWEY HOUSE,
STR000250,23992,EBENEZER HOUSE 1-80,BD002917
STR000251,3306,BLACKTHORN COURT 1-12,BD001238
STR000252,2080,SEASALTER HOUSE 1-8 CONS,BD000456
STR000254,6160,DUTTON HOUSE 1-24,BD002172
STR000256,12489,EASTMAN HOUSE 1-54,BD002729
STR000257,8672,RUSHTON HOUSE (1-38),BD000290
STR000258,4487,BELENOYD COURT,BD002089
STR000259,9288,DUNNOCK COURT 1-32,BD001295
STR000261,4410,MANTELL HOUSE 1-15,BD002200
STR000263,3150,HARFLEUR COURT 1-12,BD002867
STR000264,7931,COUCHMAN HOUSE 1-31,BD002717
STR000265,5784,THE CREST 1-20,BD001226
STR000270,6730,DALKEITH HOUSE 1-25,BD000514
STR000272,4722,EVANS HOUSE 1-17,BD000026
STR000274,1644,WOOD HOUSE (1-8),BD000004
STR000275,5513,HARCOURT HOUSE,BD000347
STR000276,1541,LESSAR COURT 1-6,BD002236
STR000278,6932,BALY HOUSE (1-26),BD002123
STR000279,3347,IRETON HOUSE,BD003393
STR000280,5613,SHIPLEY HOUSE,BD000351
STR000281,5790,WHITGIFT HOUSE 1-24 & 11A,BD002826
STR000282,4932,JUPITER COURT 1-18,BD002884
STR000283,10655,CLIFFSEND HOUSE 1-45,BD000441
STR000284,14216,WEBB HOUSE 1-56,BD000028
STR000286,3240,FLORENCE HOUSE 1-12,BD002249
STR000287,4940,LISKEARD HOUSE 1-18,BD002811
STR000288,1184,JESSIE WOOD COURT 1-8,BD002927
STR000289,3276,QUEENS HOUSE,BD002962
STR000290,4600,GRANT HOUSE,BD000313
STR000291,9110,KNEBWORTH HOUSE 1-40,BD000294
STR000292,3402,JUNO COURT 1-15,BD002883
STR000293,3085,CHILHAM COURT 1-10,BD000460
STR000294,3234,DRESDEN HOUSE,BD002839
STR000295,4817,POVEY HOUSE 1-20,BD001088
STR000296,3261,CLAPHAM MANOR COURT 7-13 & 14 FLATS A-F,BD000051
STR000297,6984,REDHILL COURT 5-22,BD001306
STR000298,1089,THE CAXTONS,BD001119
STR000300,4148,GORHAM HOUSE 1-16,BD002718
STR000301,4256,CHARLES STAUNTON HOUSE 1-16,BD001279
STR000302,1236,CYPRESS COURT 1-8,BD001244
STR000303,258,LAWN COURT,BD003245
STR000304,7468,DUCAVEL HOUSE (1-26),BD002127
STR000307,24688,FAIRFORD HOUSE,BD002916
STR000308,17758,PARK VIEW HOUSE 1-72,BD000697
STR000309,2973,PORTIA COURT 1-10 CONS,BD002868
STR000313,4960,HELSTON HOUSE 1-18,BD003279
STR000314,6748,HALLANE HOUSE 1-28,BD001413
STR000315,29046,BRITTANY POINT,BD003132
STR000316,7440,FALSTAFF COURT 1-30,BD002865
STR000317,927,THE WOODLANDS 1-6 CONS,BD001118
STR000318,4932,ARGYLL COURT 1-18,BD002243
STR000319,4662,BEECH COURT 1-16,BD001237
STR000320,16070,ASHBY HOUSE 1-67,BD000430
STR000321,2102,COVENNTRY HALL (19-27),
STR000322,6709,JAMESON HOUSE 1-25,BD002818
STR000323,7105,WISEMAN COURT 1-28 CONS,BD001278
STR000325,2451,EAGLE COURT 1-12,BD001293
STR000326,6930,CONSTANTINE HOUSE,BD002170
STR000327,4820,CAUGHLEY HOUSE 1-20,BD002836
STR000329,5668,CLOWES HOUSE 1-24,BD002251
STR000330,4392,ADRIAN HOUSE 1-16,BD002888
STR000332,8056,MACARTNEY HOUSE 1-30,BD000451
STR000333,2861,COLIGNY COURT 1-9,BD001015
STR000334,1332,SANDERS HOUSE (1-6),BD001193
STR000335,5316,MORTON HOUSE 1-18,BD001259
STR000336,2693,NEILSON TERRY COURT 1-17,BD002260
STR000339,9412,HOPTON HOUSE 1-39,BD000432
STR000343,10176,CROXTETH HOUSE 1-48,BD000293
STR000345,3306,MAPLE COURT 1-12,BD001243
STR000348,24053,HURLEY HOUSE 1-80,BD002918
STR000349,6556,HOLST COURT 11-32 CONS,BD003331
STR000350,8292,BALCOMBE HOUSE 1-30,BD002767
STR000352,3384,JEAN HUMBERT HOUSE 1-16,BD001280
STR000353,6408,WILSON HOUSE,BD000309
STR000355,4872,ROY RIDLEY HOUSE 1-16,BD000046
STR000356,1787,DALEMAIN HOUSE (1-8),BD000302
STR000357,8708,PONDFIELD HOUSE 1-36,BD001412
STR000359,5652,HAZEL COURT 1-18 CONS,BD001240
STR000362,3768,GANNET COURT,BD001289
STR000363,5983,ECCLESTONE HOUSE 1-24,BD001080
STR000364,7089,CLIVE HOUSE 1-32,BD000282
STR000365,1688,KEITH HOUSE,
STR000366,27961,DOVET COURT 1-97,BD000264
STR000367,14674,WARNHAM HOUSE 1-49,BD001376
STR000368,6040,OLDING HOUSE 1-20 CONS,BD002733
STR000369,5658,DARTINGTON HOUSE (1-22),BD000305
STR000370,2080,WOODCHURCH HOUSE 1-8,BD000458
STR000371,6400,CULPEPER COURT 1-30,BD002871
STR000373,6534,JOE HUNTE COURT,
STR000374,3180,BURGATE COURT,BD000462
STR000375,12140,WYNYARD HOUSE 1-45,BD003353
STR000376,6932,PONTON HOUSE (1-26),BD002129
STR000377,5028,CHARMAN HOUSE,BD000024
STR000379,9288,CORMORANT COURT 1-32,BD001296
STR000380,3544,MOORE HOUSE 1-12,BD001257
STR000381,2376,SOMMERVILLE COURT (2-20),BD001314
STR000383,7056,GROVER HOUSE 1-24,BD002217
STR000385,18964,HARRIS HOUSE 1-78,BD000482
STR000386,8024,THE GLEBE,
STR000388,8492,LAMBETH TOWERS 1-35,BD002921
STR000391,2392,DEEPDENE LODGE 1-8,BD001369
STR000393,4512,GEORGE LASHWOOD COURT 1-16,BD002259
STR000394,3189,HERMES COURT 1-15,BD002881
STR000396,4632,WALDRON HOUSE 1-16,BD002751
STR000398,12032,LANSDELL HOUSE 1-48,BD001085
STR000401,11826,DUMAIN COURT 1-45,BD002864
STR000403,5292,BRADY HOUSE 1-18,BD002198
STR000406,6756,INGLE HOUSE 1-25,BD002725
STR000407,1051,CANDIDE LODGE 1-4,BD000052
STR000408,2361,BRUTUS COURT 1-8,BD002863
STR000409,4641,PARRINGTON HOUSE 1-18,BD002721
STR000410,6476,BRIANT HOUSE 1-24,BD002833
STR000414,17758,HERNE HILL HOUSE 1-72,BD000696
STR000416,7867,PORTOBELLO HOUSE 1-26 CONS,BD001179
STR000418,7436,VALENTINE HOUSE 1-31,BD002724
STR000421,9946,THE CLOISTERS,
STR000424,7740,BALMORAL COURT,
STR000425,5800,WALTHAM HOUSE 1-20 CONS,BD002274
STR000426,4544,GYE HOUSE 1-16,BD002253
STR000427,306,BECKETT HOUSE,
STR000428,7413,DEARMER HOUSE,BD001073
STR000429,6864,MARTIN HOUSE 1-24,BD002897
STR000431,1716,AUCKLAND COURT,
STR000432,11956,HOLCOMBE HOUSE 1-44,BD000375
STR000433,5644,WEST HOUSE 1-23 CONS,BD002790
STR000434,3544,BLIGH HOUSE 1-12,BD001263
STR000435,5032,COALPORT HOUSE,BD002828
STR000436,4520,LILIAN ROLFE HOUSE 1-16,BD001282
STR000437,18740,COVERLEY POINT 1-72,BD002849
STR000438,7822,VICTORIA HOUSE 1-52,BD003177
STR000439,5661,SCARSBROOK HOUSE 1-24,BD001091
STR000440,5316,SEDLEY HOUSE 1-26,BD002856
STR000441,2958,JASON COURT 1-12,BD002882
STR000442,5106,WOODRUFF HOUSE 1-20 CONS,BD001096
STR000445,6321,BARTELL HOUSE 1-26 CONS,BD001079
STR000446,5910,EDWARD HOUSE 1-20,BD002831
STR000447,11100,CALLINGHAM HOUSE 1-36,BD000043
STR000448,3647,BURCHELL HOUSE,
STR000450,1688,LESLIE HOUSE,
STR000452,1688,JAMES HOUSE 1-8,BD002896
STR000453,3220,HUGH MORGAN HOUSE 1-10,BD000045
STR000454,4214,CHALBURY HOUSE 1-20,BD002623
STR000455,8900,EASTON HOUSE 1-30,BD001309
STR000457,1713,RADWELL HOUSE,
STR000458,3820,STUART HOUSE 1-16,BD002256
STR000460,960,MOUNT PLEASANT 4-10 EVEN,BD001494
STR000461,12587,SECKER HOUSE 1-53,BD000496
STR000463,5166,FONTENOY HOUSE 1-24 CONS INC 11A,BD002808
STR000464,2352,GOSTON GATE 1-8,BD000261
STR000465,13620,BEDFORD HOUSE 1-60,BD002287
STR000466,4641,SAVILL HOUSE 1-18,BD002722
STR000467,5844,ROMAYNE HOUSE 1-24,BD000361
STR000468,3306,ACACIA COURT 1-12 CONS,BD001234
STR000469,1016,MARANDA COURT 86-92,BD001716
STR000470,18336,ELSTEAD HOUSE 1-64,BD001371
STR000471,3648,HAWORTH HOUSE 1-15 CONS,BD001077
STR000472,4822,WARWICK HOUSE,BD000536
STR000473,990,GRANVILLE HOUSE,
STR000474,7536,HAWTHORN COURT 1-24 CONS,BD001239
STR000475,11590,WAYLETT HOUSE 1-43,BD002859
STR000477,14862,EDGEHILL HOUSE 1-62,BD000431
STR000479,288,IVY VILLAS,
STR000480,1908,KERSHAW HOUSE 1-6,BD001311
STR000482,4931,DERBY HOUSE 1-18,BD002804
STR000484,4627,ALDERLEY HOUSE,BD000314
STR000485,9899,MATHESON LANG HOUSE 1-37,BD003058
STR000486,17230,LEYS COURT 1-64,BD000459
STR000487,16329,FALMOUTH HOUSE 1-68,BD002922
STR000490,6785,KENNEDY HOUSE 1-25,BD002819
STR000491,1780,SOUTHSIDE COURT 1-6,BD002233
STR000492,7249,SULLIVAN HOUSE 1-26 & 4A,BD002829
STR000493,18783,HAYMANS POINT 1-72,BD002854
STR000494,2976,EARLSWOOD HOUSE (1-12),BD002780
STR000496,8434,CARLTON COURT,BD000646
STR000497,1550,BROCKWELL COURT,
STR000498,6708,DIANA HOUSE 1-24,BD002247
STR000500,4478,CHARLWOOD HOUSE,BD002777
STR000501,7880,DAN BRYANT HOUSE 1-30,BD002730
STR000502,3528,THANET HOUSE 1-12,BD001312
STR000503,5484,RUSCOE HOUSE 1-18 CONS,BD001229
STR000504,6376,LANGBOURNE HOUSE 1-20,BD001098
STR000505,4709,BLAND HOUSE,
STR000506,3351,MARSTON HOUSE 148-158,BD003621
STR000507,1762,KINGSLEY HOUSE (1-8),BD003635
STR000508,6816,BEATRICE HOUSE 1-24,BD002245
STR000510,2544,WAKELING HOUSE (1-8),
STR000511,3971,CHARDIN HOUSE 1-15,BD000440
STR000512,9368,WINTERSLOW HOUSE,BD000512
STR000513,23112,KELVEDON HOUSE,BD000278
STR000515,657,CARLTON MANSIONS (COLDHARBOUR LANE),
STR000519,3300,GLANVILLE HOUSE 1-10,BD002731
STR000520,27130,CUBITT HOUSE 1-113,BD002728
STR000521,1108,RAYNALD HOUSE (1-4),BD002156
STR000522,21074,KEMBLE HOUSE 1-88,BD000484
STR000523,2243,DOUGLAS ROBINSON COURT 1-9,BD001319
STR000525,5480,BRICKWORTH HOUSE 1-20,BD000438
STR000527,5723,FOSBURY HOUSE 1-22,BD002624
STR000529,2277,GUILDFORD COURT 1-9,BD000029
STR000530,5484,RENSHAW HOUSE 1-18 CONS,BD001233
STR000531,2770,MERCURY COURT 1-11,BD002887
STR000534,14394,TULSE HOUSE 1-54,BD001094
STR000535,4998,PEPYS HOUSE 1-17,BD002197
STR000536,7871,CAMSEY HOUSE 1-28,BD002740
STR000537,3288,APOLLO COURT 1-12,BD002876
STR000539,1535,ROBERTS HOUSE,BD003656
STR000543,2128,OVAL HOUSE 1-8,BD001022
STR000544,14738,BELGRAVIA HOUSE 1-60,BD002285
STR000546,4716,HOWLAND HOUSE (17-32),BD002154
STR000547,3656,SACKETT HOUSE 1-15,BD000454
STR000548,13784,BOURNE HOUSE 1-56,BD002218
STR000549,11124,GREENER HOUSE 1-36,BD000044
STR000550,10640,FARNLEY HOUSE 1-48,BD000284
STR000551,6390,CASTLE HOUSE,
STR000552,111,VICTORIA VILLAS,
STR000554,4544,MORRIS HOUSE 1-16,BD002254
STR000555,8980,DARLINGTON HOUSE 1-35,BD000022
STR000557,20809,MUNRO HOUSE,BD003062
STR000558,4508,HOOK HOUSE 1-16,BD001227
STR000559,5482,DOWES HOUSE,BD002158
STR000560,3807,THOMAS HOUSE 1-16,BD002257
STR000563,33569,ARLINGTON LODGE,BD002619
STR000564,3054,ROMMANY COURT 1-12 CONS,BD001275
STR000565,3699,KINGSCROFT,BD002620
STR000566,1601,BROADHINTON COURT,
STR000568,9260,FERN LODGE,BD001379
STR000570,5328,WASHBROOK HOUSE 1-20,BD001095
STR000572,4320,SELBY HOUSE 1-16,BD002723
STR000573,10053,SILVERBURN HOUSE 1-41,BD000515
STR000574,9212,DENBY COURT,
STR000575,20906,ARNE HOUSE,BD002814
STR000577,4520,ODETTE HOUSE 1-16 CONS,BD001283
STR000579,4656,LOCKYER HOUSE 1-12A & 14-24,BD000025
STR000580,4392,BASIL HOUSE 1-16,BD002889
STR000581,7400,RUSSELL PICKERING HOUSE 1-24,BD000047
STR000583,786,WALTER HOUSE 1-3,BD003355
STR000585,5672,TELFORD PARADE MANSIONS,
STR000586,6792,LAKE HOUSE 1-24 CONS,BD001195
STR000588,12020,WITCHWOOD HOUSE 1-39,BD000527
STR000589,7876,SPA COURT,
STR000592,5953,GLASBURY HOUSE 1-23,BD002625
STR000594,6708,EVELYN HOUSE 1-24,BD002248
STR000595,6120,STAMBOURNE HOUSE 1-20,BD000270
STR000596,1490,BERTRAND HOUSE,BD002152
STR000597,5076,DAISY DORMER COURT 7-24,BD002262
STR000598,6033,DAVIDGE HOUSE 1-28,BD003064
STR000599,4546,EFFINGHAM HOUSE,BD000310
STR000601,1572,ST LOUIS COURT,
STR000602,2339,BURTON HOUSE 1-14,BD000978
STR000603,7651,FARNFIELD HOUSE 1-28,BD002744
STR000604,20592,AMESBURY TOWER 1-80,BD000323
STR000605,4558,STANLEY HOUSE,BD000312
STR000606,4507,NEWBURN HOUSE 1-20,BD002822
STR000607,1688,CAPEL LODGE,
STR000609,2184,GEORGE BEARE LODGE 1-12,BD002204
STR000610,15180,THORNICROFT HOUSE 1-59,BD002273
STR000611,4860,COOPER HOUSE 1A 1B 1C AND 2-16 CONS,BD001231
STR000613,4232,CHIPSTEAD HOUSE 1-14,BD002778
STR000614,301,PHYLLIS VILLAS,
STR000615,5934,QUEENSWOOD COURT,
STR000618,1108,SACKVILLE HOUSE (1-4),BD002155
STR000619,5528,HANWAY HOUSE 1-20,BD000445
STR000621,3156,PETREL COURT 1-12,BD001290
STR000623,278,EFFRA COURT,
STR000624,1596,WINSLOW HOUSE 1-6,BD000299
STR000626,16682,RUSPER COURT 1-70,BD000256
STR000627,7357,DEACON HOUSE 1-26,BD002830
STR000628,1824,MYATT HOUSE 1-6,BD000468
STR000630,7188,GOLDSBOROUGH HOUSE 1-27,BD000306
STR000631,11694,BEAUFOY HOUSE 1-40 INC 8A&B,BD001307
STR000632,7880,SWANAGE HOUSE 1-28,BD003090
STR000634,3815,DUNMOW HOUSE 1-15,BD002817
STR000635,2670,CLYTHA COURT 1-12,BD001712
STR000636,1236,RECTORY COURT 49,BD000258
STR000638,2007,COULSDON HOUSE 1-9,BD002779
STR000640,13193,SPRINGETT HOUSE 1-48 CONS,BD002750
STR000643,15122,RYAN COURT,BD001447
STR000644,5148,DESPARD HOUSE (1-18),BD002128
STR000646,9348,BROADOAK COURT 1-36,BD000463
STR000647,10778,BLOOMSBURY HOUSE 1-44,BD002286
STR000648,2611,BRERETON HOUSE (1-10),BD001069
STR000649,7915,GABRIEL HOUSE 1-30,BD002860
STR000650,16587,LILFORD HOUSE 1-70,BD000434
STR000651,6748,LEVEHURST HOUSE 1-28,BD001414
STR000652,20815,MALMSEY HOUSE 1-84,BD002820
STR000653,6792,CEDARS HOUSE 1-24,BD001196
STR000654,3306,LABURNAM COURT 1-12 CONS,BD001241
STR000655,6243,RUDHALL HOUSE 1-27,BD001090
STR000656,4296,RUSHBROOK HOUSE 1-22,BD000289
STR000658,13719,BROCKET HOUSE 1-66,BD000280
STR000659,13383,OUTWOOD HOUSE 1-49,BD001372
STR000660,7082,LANGPORT HOUSE,BD000530
STR000661,3060,CREON COURT 1-10,BD002879
STR000662,5220,REDLYNCH HOUSE 1-20,BD000453
STR000663,5800,COLWALL HOUSE 1-20,BD002270
STR000666,1612,MACKIE HOUSE (1-6),
STR000667,10402,DYKES COURT 1-29,
STR000668,2760,ESHER HOUSE 1-12,BD000303
STR000669,1000,RASHLEIGH COURT (A-D),BD000056
STR000675,5960,GOFFTON HOUSE 1-20,BD002271
STR000677,1108,THURLOW HOUSE (1-4),BD002157
STR000678,4392,CONRAD HOUSE 1-16,BD002890
STR000679,6214,ROBERT GERARD HOUSE 1-24,BD001284
STR000680,7959,BYRNE HOUSE 1-28,BD002739
STR000681,4960,TREMATON HOUSE 1-18,BD002813
STR000683,8427,SIDFORD HOUSE,BD002803
STR000685,4220,WILLETT HOUSE 1-20,BD000377
STR000689,12032,BIRCH HOUSE,BD001068
STR000691,1604,AGNES HOUSE 1-8,BD002244
STR000694,6080,SANCROFT HOUSE 1-25,BD002824
STR000696,4392,FRANK HOUSE 1-16,BD002893
STR000697,5604,LOSTOCK HOUSE 1-24,BD000296
STR000698,4722,JOHNSON HOUSE 1-17,BD000027
STR000699,4621,ELLACOMBE HOUSE 1-20,BD001074
STR000700,10160,BRAHAM HOUSE 1-40,BD002847
STR000701,2080,DURLOCK HOUSE 1-8 CONS,BD000443
STR000702,22546,ELKINGTON POINT 1-88,BD003134
STR000704,12205,FAIRVIEW HOUSE 1-46,BD001584
STR000706,8980,HUNTER HOUSE 1-35,BD000023
STR000707,4112,DAVENPORT HOUSE 1-17,BD002827
STR000710,8114,DUNTON HOUSE 1-30,BD002159
STR000715,45253,WEDGWOOD HOUSE 1-181,BD002806
STR000717,1772,"WELFORD COURT (4-6,13-15)",BD000320
STR000719,6804,MARIE LLOYD COURT 1-24,BD002258
STR000721,5740,BATHGATE HOUSE 1-20,BD000513
STR000722,4645,SEYMOUR HOUSE,BD000348
STR000723,3856,LONGTON HOUSE 1-16,BD002841
STR000725,4432,BOOTH HOUSE 1-16,BD003631
STR000726,7230,DALBURY HOUSE 1-27 INCL 2A,BD002622
STR000727,5910,BROADSTONE HOUSE 1-21,BD003087
STR000728,12587,HARPER HOUSE 1-53,BD000481
